"brand","product","code","category","official_meaning","safe_checks","source_url","publish_date","status","notes"
"Thermo King","Truck/Trailer Refrigeration Unit","Alarm 02","Transport Refrigeration","Check Evaporator Coil Sensor (Zone)","Manually monitor temperature. Report alarm at end of day.","https://www.thermoking.com/na/en/alarm-codes.html","2026-04-01","ready","Official Thermo King truck, trailer, CR, DAS and DSR alarm code page."
"Thermo King","Truck/Trailer Refrigeration Unit","Alarm 03","Transport Refrigeration","Check (Control); Return Air Sensor (Zone)","Manually monitor temperature. Report alarm at end of day.","https://www.thermoking.com/na/en/alarm-codes.html","2026-04-01","ready","Official Thermo King truck, trailer, CR, DAS and DSR alarm code page."
"Thermo King","Truck/Trailer Refrigeration Unit","Alarm 04","Transport Refrigeration","Check (Control); Discharge Air Sensor (Zone)","Manually monitor temperature. Report alarm at end of day.","https://www.thermoking.com/na/en/alarm-codes.html","2026-04-01","ready","Official Thermo King truck, trailer, CR, DAS and DSR alarm code page."
"Thermo King","Truck/Trailer Refrigeration Unit","Alarm 05","Transport Refrigeration","Check Ambient Temp Sensor","Report alarm at end of day.","https://www.thermoking.com/na/en/alarm-codes.html","2026-04-02","ready","Official Thermo King truck, trailer, CR, DAS and DSR alarm code page."
"Carrier Transicold","Truck Refrigeration Unit","A01","Transport Refrigeration","Low pressure switch open.","Check for obvious airflow blockage, record the alarm, and contact an authorized service center if the unit shuts down or the alarm returns.","https://locator.ttdealers.carrier.com/upload/62-12201.pdf","2026-04-02","ready","Official Carrier Transicold operator manual."
"Carrier Transicold","Truck Refrigeration Unit","A02","Transport Refrigeration","High pressure switch open.","Check for blocked airflow around the condenser, record the alarm, and stop if the unit shuts down or the alarm returns.","https://locator.ttdealers.carrier.com/upload/62-12201.pdf","2026-04-02","ready","Official Carrier Transicold operator manual."
"Manitowoc","Commercial Ice Machine","E01","Commercial Ice Machine","Long freeze cycle.","Check that water supply is on, condenser airflow is not blocked, filters are clean, and the machine has been cleaned before calling service.","https://www.manitowocice.com/asset/?id=pnvoq","2026-04-03","ready","Official Manitowoc Indigo Series event code table."
"Manitowoc","Commercial Ice Machine","E02","Commercial Ice Machine","Long harvest cycle.","Check for visible ice buildup, confirm the machine is clean, and stop if the harvest problem repeats after a normal reset.","https://www.manitowocice.com/asset/?id=pnvoq","2026-04-03","ready","Official Manitowoc Indigo Series event code table."
"Manitowoc","Commercial Ice Machine","E03","Commercial Ice Machine","Input power loss.","Check that building power is stable, confirm the unit is plugged in or powered correctly, and record when the event occurred.","https://www.manitowocice.com/asset/?id=pnvoq","2026-04-03","ready","Official Manitowoc Indigo Series event code table."
"Generac","Home Standby Generator","Code 1100","Generator","Overcrank alarm; the unit turns over but will not start.","Check fuel supply basics, confirm the fuel shutoff valve is on, check the air filter area, clear the alarm, and stop if it returns.","https://support.generac.com/articles/Knowledge/What-Does-It-Mean-When-My-Generator-Displays-an-Error-Code-Overcrank-Code-1100","2026-04-04","ready","Official Generac support article for Overcrank 1100-1101."
"Generac","Home Standby Generator","Code 1101","Generator","Overcrank alarm; the unit turns over but will not start.","Check fuel supply basics, confirm the fuel shutoff valve is on, check the air filter area, clear the alarm, and stop if it returns.","https://support.generac.com/articles/Knowledge/What-Does-It-Mean-When-My-Generator-Displays-an-Error-Code-Overcrank-Code-1100","2026-04-04","ready","Official Generac support article for Overcrank 1100-1101."
"Generac","Home Standby Generator","Code 1200","Generator","Overspeed alarm.","Record the code, clear the alarm only if safe, do not keep restarting, and contact a Generac authorized service dealer if it returns.","https://support.generac.com/articles/Knowledge/Where-can-I-find-a-list-of-error-codes-for-my-generator","2026-04-04","ready","Official Generac support list identifies Overspeed codes 1200-1207."
"Cummins Onan","RV Generator","Code 1","Generator","Engine over temperature.","Check coolant level if the model uses coolant, clear blocked air openings, reduce electrical load, and stop if the fault returns.","https://www.cummins.com/sites/default/files/rv-manuals/A043D713.pdf","2026-04-05","ready","Official Cummins Onan RV generator operator manual."
"Cummins Onan","RV Generator","Code 2","Generator","Low oil pressure.","Check engine oil level on a level surface, correct obvious oil level issues, and stop if the fault returns after restart.","https://www.cummins.com/sites/default/files/rv-manuals/A043D713.pdf","2026-04-05","ready","Official Cummins Onan RV generator operator manual."
"Pfeiffer Vacuum","Turbopump","Err001","Vacuum Pump","Overspeed.","Do not restart repeatedly, acknowledge only when rotation speed is zero, and contact Pfeiffer Vacuum service.","https://www.pfeiffer-vacuum.com/api/empolis/resource/environment/project1_p/documents/pfeifferSharepointProd/600-pt0452ben_c.pdf","2026-04-05","ready","Official Pfeiffer Vacuum operating instructions."
